reologia,concentracion,zona,nombre_grupo,n_celdas_comparadas,n_celdas_totales,cobertura_pct,rms_mm_s,sesgo_mm_s,mediana_abs_diff_mm_s,p95_abs_diff_mm_s,delta_u_mm_s,frac_dentro_delta_u_pct,rms_sobre_delta_u,sesgo_sobre_delta_u,veredicto
car-02,0750,L,car-02_n-0750,3497,31920,10.96,41.606,0.7266,6.8596,97.5087,3.08,34.23,13.508,0.236,"sesgo nulo, dispersion > delta_U"
car-02,0750,viga175,car-02_n-0750,18141,49875,36.37,20.7884,-10.043,4.8887,49.1902,1.41,18.12,14.744,-7.123,SESGO SISTEMATICO > delta_U
car-02,0750,viga250,car-02_n-0750,11395,49875,22.85,19.005,-9.1966,4.4528,43.1373,1.38,16.69,13.772,-6.664,SESGO SISTEMATICO > delta_U
car-02,1500,L,car-02_n-1500,4296,31920,13.46,36.448,-5.163,4.9629,85.9023,3.08,36.01,11.834,-1.676,SESGO SISTEMATICO > delta_U
car-02,1500,viga175,car-02_n-1500,18282,49875,36.66,27.24,-15.9149,7.7342,65.9011,1.41,10.44,19.319,-11.287,SESGO SISTEMATICO > delta_U
car-02,1500,viga250,car-02_n-1500,12787,49875,25.64,30.8978,-18.5279,9.0945,73.0012,1.38,5.82,22.39,-13.426,SESGO SISTEMATICO > delta_U
car-02,3000,L,car-02_n-3000,4272,31920,13.38,42.6087,-2.3319,8.2261,106.0181,3.08,29.19,13.834,-0.757,"sesgo nulo, dispersion > delta_U"
car-02,3000,viga175,car-02_n-3000,14789,49875,29.65,36.6982,-23.6491,12.8995,83.8961,1.41,4.43,26.027,-16.772,SESGO SISTEMATICO > delta_U
car-02,3000,viga250,car-02_n-3000,12495,49875,25.05,37.0392,-23.9231,13.5587,85.7468,1.38,4.23,26.84,-17.336,SESGO SISTEMATICO > delta_U
car-05,0750,L,car-05_n-0750,2415,59760,4.04,12.7782,6.9263,6.6172,27.5357,3.08,30.31,4.149,2.249,SESGO SISTEMATICO > delta_U
car-05,0750,viga175,car-05_n-0750,14895,93375,15.95,4.2178,-2.7789,2.1617,9.1556,1.41,35.12,2.991,-1.971,SESGO SISTEMATICO > delta_U
car-05,0750,viga250,car-05_n-0750,4377,93375,4.69,3.4385,-2.4558,1.9173,7.277,1.38,38.86,2.492,-1.78,SESGO SISTEMATICO > delta_U
car-05,1500,L,car-05_n-1500,3345,59760,5.6,12.6921,6.0984,5.7599,28.4699,3.08,33.63,4.121,1.98,SESGO SISTEMATICO > delta_U
car-05,1500,viga175,car-05_n-1500,13437,93375,14.39,5.6471,-4.1403,3.4783,11.6726,1.41,21.65,4.005,-2.936,SESGO SISTEMATICO > delta_U
car-05,1500,viga250,car-05_n-1500,3241,93375,3.47,4.8964,-3.6493,2.8683,9.9607,1.38,28.02,3.548,-2.644,SESGO SISTEMATICO > delta_U
car-05,3000,L,car-05_n-3000,3171,59760,5.31,14.7235,8.6195,7.2495,32.1726,3.08,26.02,4.78,2.799,SESGO SISTEMATICO > delta_U
car-05,3000,viga175,car-05_n-3000,10868,93375,11.64,6.0932,-4.4459,3.6883,12.7785,1.41,19.37,4.321,-3.153,SESGO SISTEMATICO > delta_U
car-05,3000,viga250,car-05_n-3000,2545,93375,2.73,4.6198,-3.3619,2.6251,9.7283,1.38,30.29,3.348,-2.436,SESGO SISTEMATICO > delta_U
