reologia,respuesta,predictor,etapa,rho,p_value,n_zonas,rho_parcial_nf,p_parcial_nf,n_parcial,abs_rho
car-02,orden_S,gamma_dot,transicion,-0.5889328063241107,0.003929719254194482,22,-0.3586738878312224,0.10117157165214653,22,0.5889328063241107
car-02,orden_S,omega,transicion,-0.5798983625070583,0.004670995181901244,22,-0.33962277352946996,0.1220159455118359,22,0.5798983625070583
car-02,orden_S,V,cuasi,-0.49890109890109896,0.0693635273971548,14,-0.2841039583200251,0.3249209211128323,14,0.49890109890109896
car-02,orden_S,V,transicion,-0.4206662902315077,0.051238473894516245,22,-0.06761988203256225,0.7649446096738397,22,0.4206662902315077
car-02,orden_S,gamma_dot,cuasi,0.2923076923076923,0.310526320385882,14,0.25692890618830744,0.3752234183080727,14,0.2923076923076923
car-02,orden_S,omega,cuasi,0.2571428571428571,0.3748119038799704,14,0.31820927201600785,0.2675336341597223,14,0.2571428571428571
car-02,sigma_iso,V,transicion,0.7549407114624508,4.892592941008483e-05,22,0.4816671135970562,0.02321967701500856,22,0.7549407114624508
car-02,sigma_iso,gamma_dot,transicion,0.7199322416713722,0.0001583443270363374,22,0.33828201547246656,0.12359123587231972,22,0.7199322416713722
car-02,sigma_iso,omega,transicion,0.717673630717109,0.00016980096637833305,22,0.3076684786886782,0.16364491049537683,22,0.717673630717109
car-02,sigma_iso,V,cuasi,0.44175824175824174,0.11377750302872346,14,0.30765925728318877,0.2845924846689743,14,0.44175824175824174
car-02,sigma_iso,omega,cuasi,0.2087912087912088,0.473778837309814,14,0.24655163546625308,0.3954722447159963,14,0.2087912087912088
car-02,sigma_iso,gamma_dot,cuasi,0.2043956043956044,0.4833462230422238,14,0.3012971183110708,0.29518094532526107,14,0.2043956043956044
car-05,orden_S,V,transicion,0.6833333333333333,0.04244227208707231,9,0.683749022847085,0.04226682280555552,9,0.6833333333333333
car-05,orden_S,V,cuasi,-0.6,0.28475697986529386,5,-0.5039526306789697,0.3866495825394332,5,0.6
car-05,orden_S,omega,transicion,-0.35,0.35581957250178897,9,-0.37717600582758143,0.31698417593766215,9,0.35
car-05,orden_S,gamma_dot,transicion,-0.35,0.35581957250178897,9,-0.37717600582758143,0.31698417593766215,9,0.35
car-05,orden_S,gamma_dot,cuasi,0.3,0.623837664781073,5,0.5447047794019222,0.34247258074230774,5,0.3
car-05,orden_S,omega,cuasi,-0.09999999999999999,0.8728885715695384,5,0.12598815766974247,0.8400122849640859,5,0.09999999999999999
car-05,sigma_iso,omega,transicion,-0.5499999999999999,0.12497678418833195,9,-0.5929076224747704,0.09243621409379102,9,0.5499999999999999
car-05,sigma_iso,gamma_dot,transicion,-0.5499999999999999,0.12497678418833195,9,-0.5929076224747704,0.09243621409379102,9,0.5499999999999999
car-05,sigma_iso,V,cuasi,-0.49999999999999994,0.3910022189557703,5,-0.32732683535398843,0.5908012080539901,5,0.49999999999999994
car-05,sigma_iso,gamma_dot,cuasi,0.3,0.623837664781073,5,0.9434563530497264,0.016002631987370564,5,0.3
car-05,sigma_iso,V,transicion,-0.13333333333333333,0.7323675052362973,9,-0.08807354275501535,0.8217338130630643,9,0.13333333333333333
car-05,sigma_iso,omega,cuasi,0.09999999999999999,0.8728885715695384,5,0.7637626158259733,0.13284184055977594,5,0.09999999999999999
