respuesta,predictor,etapa,rho,p_value,n_zonas,rho_parcial_nf,p_parcial_nf,n_parcial,abs_rho
orden_S,V,cuasi,-0.4666666666666667,0.043987700236935864,19,-0.45611056223340035,0.04967218638173164,19,0.4666666666666667
orden_S,V,inicio,0.4088794926004227,0.005856344568026146,44,0.59731660226367,1.8648926170107348e-05,44,0.4088794926004227
orden_S,V,transicion,0.13709677419354843,0.46207291627618924,31,0.4164670714813008,0.01977928836413154,31,0.13709677419354843
orden_S,omega,inicio,0.10736937481123526,0.4931506036130696,43,0.370835402099557,0.014362589698367009,43,0.10736937481123526
orden_S,omega,cuasi,-0.0824561403508772,0.7371803788984195,19,-0.15053451685625774,0.5384622577174898,19,0.0824561403508772
orden_S,gamma_dot,inicio,0.07701600724856539,0.6235140080667881,43,0.3640212858290612,0.016409286280623027,43,0.07701600724856539
orden_S,gamma_dot,cuasi,-0.06315789473684211,0.797282917844937,19,-0.144753935489026,0.5543461822673215,19,0.06315789473684211
orden_S,gamma_dot,transicion,-0.04596774193548387,0.8060308843324242,31,0.23509241588561974,0.20298921009869347,31,0.04596774193548387
orden_S,omega,transicion,-0.021370967741935486,0.9091493356143366,31,0.2715088962642397,0.13954373810835805,31,0.021370967741935486
sigma_iso,V,transicion,0.6770161290322582,2.88416998657383e-05,31,0.5946531907270073,0.0004188951720154711,31,0.6770161290322582
sigma_iso,V,inicio,0.6604651162790698,1.0698174813710742e-06,44,0.6001242454865935,1.6635696611955307e-05,44,0.6604651162790698
sigma_iso,gamma_dot,transicion,0.6536290322580646,6.686354344543984e-05,31,0.5432113220688839,0.001589233130416743,31,0.6536290322580646
sigma_iso,omega,transicion,0.6495967741935484,7.674416985654121e-05,31,0.5360403141217925,0.0018825976302415158,31,0.6495967741935484
sigma_iso,omega,inicio,0.49848988221081236,0.0006687824784596616,43,0.3252109455866749,0.03334267647447242,43,0.49848988221081236
sigma_iso,gamma_dot,inicio,0.49848988221081236,0.0006687824784596616,43,0.30344929824326544,0.047913639455740786,43,0.49848988221081236
sigma_iso,gamma_dot,cuasi,-0.25789473684210523,0.28643023354996244,19,-0.16170498288083696,0.5083698676943567,19,0.25789473684210523
sigma_iso,omega,cuasi,-0.2263157894736842,0.35149996622202345,19,-0.15002165570669582,0.5398630661348152,19,0.2263157894736842
sigma_iso,V,cuasi,0.1701754385964912,0.4860995397874448,19,0.12675258103298243,0.6050957120659237,19,0.1701754385964912
