reologia,respuesta,predictor,rho_cuasi,rho_transicion,domina_etapa,delta_abs_rho
car-02,orden_S,V,-0.49890109890109896,-0.4206662902315077,cuasi,-0.07823480866959126
car-02,orden_S,gamma_dot,0.2923076923076923,-0.5889328063241107,transicion,0.2966251140164184
car-02,orden_S,omega,0.2571428571428571,-0.5798983625070583,transicion,0.32275550536420117
car-02,sigma_iso,V,0.44175824175824174,0.7549407114624508,transicion,0.31318246970420904
car-02,sigma_iso,gamma_dot,0.2043956043956044,0.7199322416713722,transicion,0.5155366372757677
car-02,sigma_iso,omega,0.2087912087912088,0.717673630717109,transicion,0.5088824219259002
car-05,orden_S,V,-0.6,0.6833333333333333,transicion,0.08333333333333337
car-05,orden_S,gamma_dot,0.3,-0.35,transicion,0.04999999999999999
car-05,orden_S,omega,-0.09999999999999999,-0.35,transicion,0.25
car-05,sigma_iso,V,-0.49999999999999994,-0.13333333333333333,cuasi,-0.3666666666666666
car-05,sigma_iso,gamma_dot,0.3,-0.5499999999999999,transicion,0.24999999999999994
car-05,sigma_iso,omega,0.09999999999999999,-0.5499999999999999,transicion,0.44999999999999996
