toma,reologia,fibras,zona,n_fibras,orden_S,theta_med,sigma_iso,indice_uniformidad,fiable,objetivo,calidad_orientacion,desviacion_media,V_cuasi,V_transicion,omega_cuasi,omega_transicion,gamma_dot_cuasi,gamma_dot_transicion
m70,car-02,3000,Vf1c1,134,0.43911531564952655,177.56590622559307,27.13593546116836,0.29496105683402873,True,135.0,0.5186324767853479,43.8871052238806,1.1839972734451294,11.246722221374512,0.08461304381489754,0.45654377341270447,0.1999312788248062,0.9846129417419434
m70,car-02,3000,Vf1c2,9,0.821794977508745,165.55297922090716,7.678849230389638,0.6721434314127339,True,0.0,0.859746824855953,18.04498888888888,0.31681032478809357,,0.05789405666291714,,0.135224349796772,
m70,car-02,3000,Vf2c1,170,0.32840937680714716,173.08790165859014,33.228296088667044,0.3064945638685309,True,135.0,0.539235652445565,42.11424823529411,0.9467237889766693,17.529245376586914,0.06528147682547569,0.4358000159263611,0.14598330855369568,0.9161766171455383
m70,car-02,3000,Vf2c2,206,0.4474936636185017,1.9088067266102613,30.364969819527094,0.3362989881052633,True,0.0,0.7232503482628369,28.591227669902914,0.5863684415817261,11.2609224319458,0.10222091525793076,0.36993807554244995,0.23529313504695892,0.7804455161094666
m70,car-02,3000,Vf2c3,53,0.7673023866241873,14.602088654419925,13.594222422474658,0.33851316944184956,True,45.0,0.6871923565446275,31.192009433962255,0.4502831995487213,8.912070751190186,0.09792853891849518,0.344094455242157,0.22568124532699585,0.7243916690349579
m73,car-02,1500,Vf1c1,94,0.4852557710916968,170.56587866824125,26.655010587948894,0.3232444506922735,True,135.0,0.5784641553400899,38.747319148936164,,10.946850299835205,,0.4201296716928482,,0.9139048159122467
m73,car-02,1500,Vf1c2,15,0.6542731383809612,168.900782472656,13.530499611012853,0.351448149314742,True,0.0,0.8028895026096369,23.62012,0.2755127400159836,,0.05555232614278793,,0.13618044555187225,
m73,car-02,1500,Vf2c1,179,0.4139946956509887,175.2334556148785,28.761038486040462,0.3569932152109981,True,135.0,0.5342823141407155,42.55668268156424,0.9237777292728424,16.8980073928833,0.06288326159119606,0.3837938457727432,0.13991878181695938,0.8275966048240662
m73,car-02,1500,Vf2c2,213,0.602770490789839,10.592654296635052,31.67464591889212,0.3568529835467043,True,0.0,0.7810165744445228,23.65295539906103,,11.64333438873291,,0.30603131651878357,,0.6552585959434509
m73,car-02,1500,Vf2c3,72,0.6811327446851995,173.4944058387739,12.347261263070415,0.35949190250159874,True,45.0,0.4233244379681465,50.2677625,,10.205838203430176,,0.357488214969635,,0.7400844097137451
m74,car-02,750,Vf1c1,78,0.522216438685348,166.37737493075315,27.401669296939396,0.27978160837458277,True,135.0,0.6195353985304785,35.34525128205127,2.5264439582824707,12.488744258880615,0.08382733166217804,0.46976901590824127,0.20817281305789948,1.0674689412117004
m74,car-02,750,Vf1c2,16,0.2597323122543762,22.32912839159578,7.1166048314692665,0.4380731605731152,True,0.0,0.5923753225232087,38.827200000000005,,1.0733604431152344,,0.10987982153892517,,0.27185165882110596
m74,car-02,750,Vf2c1,142,0.41442643227649706,168.41113717773666,30.7072655092207,0.3314295911196039,True,135.0,0.5815559216716351,39.240069014084504,1.95083886384964,18.82831382751465,0.0750969760119915,0.3999019265174866,0.16733833402395248,0.8465033769607544
m74,car-02,750,Vf2c2,101,0.667099522265416,1.034198321180632,31.364688446120546,0.46552113428953595,True,0.0,0.8333324380506235,20.102955445544552,0.810938686132431,16.880693435668945,0.11467364430427551,0.30012084543704987,0.26052403450012207,0.6308910846710205
m74,car-02,750,Vf2c3,37,0.6657333701743917,6.525083941606634,12.906621628607507,0.4352605265512972,True,45.0,0.5751626693388285,39.665683783783784,0.5175236463546753,10.051695346832275,0.11379509419202805,0.24362802505493164,0.2603882849216461,0.5159995555877686
