grupo,zona,factor,rho_vs_delta_theta,p_value,n_fibras,abs_rho
global,Vf1c1,V,-0.29828629788887656,1.28154800244205e-98,4770,0.29828629788887656
global,Vf1c1,omega,-0.23479471417577205,9.52984675648744e-61,4770,0.23479471417577205
global,Vf1c1,gamma_dot,-0.23308798953477824,7.192528057701304e-60,4770,0.23308798953477824
global,Vf1c1,t_en_zona,0.2139328706939298,1.6844655963979572e-50,4770,0.2139328706939298
global,Vf1c2,V,-0.09465519577293047,0.30173484708713333,121,0.09465519577293047
global,Vf1c2,omega,-0.027929819807614137,0.7610529847578967,121,0.027929819807614137
global,Vf1c2,gamma_dot,-0.050304836742988746,0.5837217665250323,121,0.050304836742988746
global,Vf1c2,t_en_zona,0.09955324330514802,0.27729315429461593,121,0.09955324330514802
global,Vf2c1,V,-0.2925299945813243,2.4001582542073574e-70,3517,0.2925299945813243
global,Vf2c1,omega,-0.1254422723397269,8.258797935367887e-14,3517,0.1254422723397269
global,Vf2c1,gamma_dot,-0.1309129462619351,6.466090495319e-15,3517,0.1309129462619351
global,Vf2c1,t_en_zona,0.08056748560534728,1.7177370087935052e-06,3517,0.08056748560534728
global,Vf2c2,V,-0.19417414322255147,3.178116081196648e-13,1384,0.19417414322255147
global,Vf2c2,omega,0.016730136038579323,0.5340219670920092,1384,0.016730136038579323
global,Vf2c2,gamma_dot,0.005668000938552125,0.8331424518281582,1384,0.005668000938552125
global,Vf2c2,t_en_zona,-0.08682988131513955,0.0012230559636987332,1384,0.08682988131513955
global,Vf2c3,V,0.22429319179259793,0.00028957459641006203,257,0.22429319179259793
global,Vf2c3,omega,0.19715905234820374,0.0014904868000129097,257,0.19715905234820374
global,Vf2c3,gamma_dot,0.1721386921998009,0.005660529044977762,257,0.1721386921998009
global,Vf2c3,t_en_zona,0.1383497938270745,0.026569839458908406,257,0.1383497938270745
