grupo,zona,factor,rho_vs_delta_theta,p_value,n_fibras,abs_rho
car-02,Vf1c1,V,0.05398296272596384,0.12734965213458352,799,0.05398296272596384
car-02,Vf1c1,omega,-0.09608615562686441,0.006566455586908927,799,0.09608615562686441
car-02,Vf1c1,gamma_dot,-0.07847697309606932,0.026539481501960602,799,0.07847697309606932
car-02,Vf1c1,t_en_zona,-0.037576484811002675,0.2887486222248813,799,0.037576484811002675
car-02,Vf1c2,V,0.04535970358755169,0.6933290686175471,78,0.04535970358755169
car-02,Vf1c2,omega,-0.05863756496667889,0.610085806677259,78,0.05863756496667889
car-02,Vf1c2,gamma_dot,-0.00899100899100899,0.9377278444730698,78,0.00899100899100899
car-02,Vf1c2,t_en_zona,0.2685218115049479,0.017450956852945163,78,0.2685218115049479
car-02,Vf2c1,V,-0.07977613643923033,0.005191411252000652,1226,0.07977613643923033
car-02,Vf2c1,omega,-0.03852013674427545,0.17769717319392753,1226,0.03852013674427545
car-02,Vf2c1,gamma_dot,-0.05418517848645304,0.057865780521729596,1226,0.05418517848645304
car-02,Vf2c1,t_en_zona,-0.005858017317672885,0.8376449381487364,1226,0.005858017317672885
car-02,Vf2c2,V,0.12557775413057043,0.00029689121644715233,826,0.12557775413057043
car-02,Vf2c2,omega,0.057113994460638216,0.10093827022044437,826,0.057113994460638216
car-02,Vf2c2,gamma_dot,0.06338023291812528,0.06866254541636004,826,0.06338023291812528
car-02,Vf2c2,t_en_zona,-0.06943582130438726,0.04604433485290482,826,0.06943582130438726
car-02,Vf2c3,V,0.1158429635973185,0.08023516625352148,229,0.1158429635973185
car-02,Vf2c3,omega,0.09768521421492972,0.14056698868578243,229,0.09768521421492972
car-02,Vf2c3,gamma_dot,0.022148337250891853,0.7388535363712906,229,0.022148337250891853
car-02,Vf2c3,t_en_zona,0.042920218958771954,0.5181210853621274,229,0.042920218958771954
car-05,Vf1c1,V,-0.2401880226247618,1.0219924920911064e-19,1392,0.2401880226247618
car-05,Vf1c1,omega,-0.203770732609257,1.6357600652938924e-14,1392,0.203770732609257
car-05,Vf1c1,gamma_dot,-0.20173766894144637,3.0022158483328706e-14,1392,0.20173766894144637
car-05,Vf1c1,t_en_zona,0.21187029820785372,1.3655209941243494e-15,1392,0.21187029820785372
car-05,Vf2c1,V,-0.12083890597501033,1.978122643465312e-06,1540,0.12083890597501033
car-05,Vf2c1,omega,-0.07081937041293576,0.005429404989479387,1540,0.07081937041293576
car-05,Vf2c1,gamma_dot,-0.08019640406675482,0.0016346464040855047,1540,0.08019640406675482
car-05,Vf2c1,t_en_zona,-0.08923092464224631,0.0004551924310637041,1540,0.08923092464224631
car-05,Vf2c2,V,0.04709083587880957,0.40943733946957755,309,0.04709083587880957
car-05,Vf2c2,omega,0.02100495808607302,0.7130390736634612,309,0.02100495808607302
car-05,Vf2c2,gamma_dot,0.021402337092910218,0.7078561304908146,309,0.021402337092910218
car-05,Vf2c2,t_en_zona,0.04983182379118878,0.38268714837887396,309,0.04983182379118878
