reologia,mezcla,zona,etapa,n_ptv,n_piv,mediana_ptv,mediana_piv,cohen_d,efecto
car-02,m71,Z1,transicion,105191,102202,31.573,30.9877,0.0179,insignificante
car-02,m71,Z1,cuasi,40133,37383,0.528,0.7822,0.1281,insignificante
car-02,m71,Z2,transicion,124988,121563,35.4551,35.9112,0.0211,insignificante
car-02,m71,Z2,cuasi,152526,134924,6.3463,6.8546,0.0641,insignificante
car-02,m71,Z3,transicion,181982,181708,58.1671,56.9611,0.0359,insignificante
car-02,m71,Z3,cuasi,274654,271458,7.4647,7.128,0.0565,insignificante
car-02,m71,Vf1c1,transicion,52518,52218,12.4336,12.752,0.0122,insignificante
car-02,m71,Vf1c1,cuasi,118948,123414,1.8088,2.0758,0.0398,insignificante
car-02,m71,Vf1c2,transicion,10195,9316,0.7393,0.7463,0.0071,insignificante
car-02,m71,Vf1c2,cuasi,8153,8058,0.2307,0.2389,0.0184,insignificante
car-02,m71,Vf2c1,transicion,172836,183723,17.6351,18.1063,0.0025,insignificante
car-02,m71,Vf2c1,cuasi,333396,355446,1.2453,1.5338,0.0215,insignificante
car-02,m71,Vf2c2,transicion,280169,353865,16.2338,12.9455,0.0561,insignificante
car-02,m71,Vf2c2,cuasi,967247,995441,0.6765,0.6684,0.0111,insignificante
car-02,m71,Vf2c3,transicion,51335,65220,10.1568,10.7556,0.1134,insignificante
car-02,m71,Vf2c3,cuasi,274060,285759,0.4631,0.4431,0.0183,insignificante
car-02,m82,Z1,transicion,116201,113127,31.6868,29.6144,0.0422,insignificante
car-02,m82,Z1,cuasi,44556,49274,0.9563,1.3268,0.1682,insignificante
car-02,m82,Z2,transicion,123467,124315,36.9027,36.8594,0.0013,insignificante
car-02,m82,Z2,cuasi,159280,164864,6.0938,6.4864,0.1387,insignificante
car-02,m82,Z3,transicion,180628,181954,58.6416,57.7885,0.0299,insignificante
car-02,m82,Z3,cuasi,274867,273825,8.3031,8.102,0.0374,insignificante
car-02,m82,Vf1c1,transicion,57441,40188,14.1773,15.377,0.0031,insignificante
car-02,m82,Vf1c1,cuasi,119843,99940,3.3369,3.4674,0.06,insignificante
car-02,m82,Vf1c2,transicion,11592,4436,1.2846,1.9501,0.102,insignificante
car-02,m82,Vf1c2,cuasi,9072,4033,0.3235,0.3947,0.3168,débil
car-02,m82,Vf2c1,transicion,177376,149764,19.3694,21.581,0.1068,insignificante
car-02,m82,Vf2c1,cuasi,321786,305496,2.6746,3.3858,0.1095,insignificante
car-02,m82,Vf2c2,transicion,305186,270945,17.4387,16.6449,0.0597,insignificante
car-02,m82,Vf2c2,cuasi,1031729,907663,1.6229,3.0932,0.1123,insignificante
car-02,m82,Vf2c3,transicion,51601,38519,10.2915,10.3584,0.0479,insignificante
car-02,m82,Vf2c3,cuasi,286948,242012,0.9891,2.3297,0.2,débil
car-05,m92,Z1,transicion,680454,696373,3.2093,3.0858,0.0608,insignificante
car-05,m92,Z1,cuasi,1532930,1526768,0.8202,0.7263,0.1398,insignificante
car-05,m92,Z2,transicion,299237,298678,7.269,7.2833,0.0203,insignificante
car-05,m92,Z2,cuasi,1621470,1609641,3.2727,3.1266,0.0477,insignificante
car-05,m92,Z3,transicion,39105,39181,23.2086,23.1026,0.0984,insignificante
car-05,m92,Z3,cuasi,779503,779636,7.3703,7.235,0.0354,insignificante
car-05,m92,Vf1c1,transicion,143589,142982,2.295,2.1465,0.1717,insignificante
car-05,m92,Vf1c1,cuasi,242881,240485,2.004,1.9507,0.0855,insignificante
car-05,m92,Vf2c1,transicion,215968,216062,4.5031,4.6582,0.0729,insignificante
car-05,m92,Vf2c1,cuasi,2123341,2118832,2.1073,2.0646,0.066,insignificante
car-05,m92,Vf2c2,transicion,90422,85874,3.0537,3.0366,0.0529,insignificante
car-05,m92,Vf2c2,cuasi,350592,336405,1.483,1.4281,0.0465,insignificante
