track_id,timestamp_s,x_mm,y_mm,angle_deg,cam_name
13423,40.3000,125.0661,32.7524,328.6066,Cam 1
13665,40.3000,105.3372,36.3805,322.1959,Cam 1
13752,40.3000,125.2371,32.4462,327.6126,Cam 1
13906,40.3000,80.2091,58.0626,316.3944,Cam 1
13937,40.3000,51.7765,67.5374,299.3617,Cam 1
13943,40.3000,66.7767,63.0852,317.6030,Cam 1
13944,40.3000,121.4888,37.4443,330.1577,Cam 1
13856,40.3773,89.0026,81.3494,285.0930,Cam 1
13916,40.3773,77.3134,61.0136,310.0388,Cam 1
13922,40.3773,134.4617,30.2720,328.2015,Cam 1
13938,40.3773,92.4926,79.3629,274.7807,Cam 1
13945,40.3773,85.6875,73.8884,291.3989,Cam 1
13919,40.4545,90.8046,75.4617,282.4359,Cam 1
13934,40.4545,96.0064,131.1162,242.5162,Cam 1
13940,40.4545,79.5620,100.3623,302.1945,Cam 1
13942,40.4545,136.2393,29.2790,327.9022,Cam 1
13947,40.4545,56.3695,69.0083,307.5984,Cam 1
13845,40.5318,103.4565,87.5072,223.8706,Cam 1
13882,40.5318,83.5716,78.3810,294.8560,Cam 1
13901,40.5318,97.9784,89.9423,194.8324,Cam 1
13941,40.5318,61.0974,83.8522,303.1996,Cam 1
12715,40.6091,93.8000,60.7587,299.8735,Cam 1
13899,40.6864,65.6553,67.9439,322.4151,Cam 1
13902,40.6864,56.9588,74.4377,304.2248,Cam 1
13908,40.7636,91.1494,93.5373,330.1483,Cam 1
13939,40.7636,90.4974,50.5206,320.7677,Cam 1
13946,40.7636,129.3146,32.7961,328.3144,Cam 1
8,40.9955,118.6001,90.1532,303.5445,Cam 1
10457,40.9955,49.9130,66.1535,333.4062,Cam 1
10641,40.9955,80.8622,103.9780,218.8009,Cam 1
10708,40.9955,108.9275,90.1927,253.0399,Cam 1
11159,40.9955,79.0118,108.3833,313.6680,Cam 1
11213,40.9955,98.3554,113.9872,247.6395,Cam 1
11225,40.9955,113.5906,86.5595,239.6159,Cam 1
11466,40.9955,64.5757,76.3999,321.1923,Cam 1
11614,40.9955,109.0979,97.6117,246.9387,Cam 1
11653,40.9955,90.8833,83.6398,318.6761,Cam 1
11792,40.9955,77.4154,70.4825,242.7195,Cam 1
11929,40.9955,72.2395,109.1746,247.9026,Cam 1
11990,40.9955,91.6636,120.3688,265.6585,Cam 1
12279,40.9955,48.2268,72.4545,347.1518,Cam 1
12462,40.9955,119.7558,116.5985,231.6078,Cam 1
12512,40.9955,102.6705,117.1986,289.4100,Cam 1
12520,40.9955,96.5793,78.9895,318.7372,Cam 1
12803,40.9955,65.1708,98.8240,282.2123,Cam 1
12807,40.9955,76.4606,118.3671,266.7073,Cam 1
12814,40.9955,61.5609,99.7082,262.5045,Cam 1
12870,40.9955,73.8774,88.0994,287.8863,Cam 1
12967,40.9955,76.9854,87.7915,289.6411,Cam 1
13042,40.9955,66.4774,109.0165,271.8707,Cam 1
13114,40.9955,101.2900,87.7655,260.3580,Cam 1
13150,40.9955,94.1271,72.4713,284.0757,Cam 1
13170,40.9955,104.7684,43.5049,326.5737,Cam 1
13224,40.9955,130.4225,110.4546,243.7527,Cam 1
13275,40.9955,77.1691,61.1055,310.6371,Cam 1
13293,40.9955,70.2499,104.5367,248.4109,Cam 1
13303,40.9955,110.7880,81.7624,241.6592,Cam 1
13338,40.9955,102.0882,96.9597,251.0328,Cam 1
13345,40.9955,72.3340,113.5352,276.4268,Cam 1
13368,40.9955,102.4934,69.3780,244.5127,Cam 1
13374,40.9955,127.1483,23.5086,329.7691,Cam 1
13380,40.9955,76.9593,100.6533,223.0824,Cam 1
13413,40.9955,102.3000,126.6904,200.0372,Cam 1
13491,40.9955,85.4579,67.7650,287.4110,Cam 1
13497,40.9955,71.5954,55.9545,319.7269,Cam 1
13570,40.9955,64.6018,60.1943,313.6514,Cam 1
13584,40.9955,98.4025,82.9079,239.3159,Cam 1
13602,40.9955,51.8835,77.6791,294.6462,Cam 1
13604,40.9955,93.3325,82.3018,307.6378,Cam 1
13619,40.9955,98.9198,89.6747,259.0168,Cam 1
13651,40.9955,138.9444,27.5306,328.4806,Cam 1
13656,40.9955,80.9508,57.0130,312.7150,Cam 1
13666,40.9955,81.3271,57.2331,324.4523,Cam 1
13728,40.9955,66.6737,106.3568,274.6583,Cam 1
13751,40.9955,87.6944,63.3584,296.8174,Cam 1
13756,40.9955,76.3498,56.8855,314.9027,Cam 1
13770,40.9955,109.4546,48.1662,326.4956,Cam 1
13786,40.8409,83.7709,64.6853,285.5038,Cam 1
13833,40.9955,101.5326,39.7797,321.7927,Cam 1
13840,40.9955,67.1359,67.1048,324.7900,Cam 1
13850,40.9955,69.9892,73.2672,287.8354,Cam 1
13851,40.9955,59.7261,75.7413,304.1639,Cam 1
13873,40.9955,105.5260,42.6098,323.2984,Cam 1
13877,40.9955,107.3736,85.2424,253.1835,Cam 1
13881,40.9955,110.2636,125.3062,270.5413,Cam 1
13885,40.9955,106.8763,90.8916,226.0216,Cam 1
13895,40.9955,80.9729,72.5810,290.8981,Cam 1
13897,40.9955,56.1012,90.9552,326.7759,Cam 1
13904,40.9955,98.7955,90.1514,251.4486,Cam 1
13909,40.9955,93.3276,51.5339,316.2216,Cam 1
13917,40.9955,69.2522,81.3985,304.2207,Cam 1
13920,40.9955,127.7123,112.9857,227.7188,Cam 1
13930,40.9955,102.6508,55.6837,284.7890,Cam 1
