reologia,mezcla_A,mezcla_B,zona,etapa,n_A,n_B,mediana_A,mediana_B,cohen_d,efecto
car-02,m71,m82,Z1,transicion,224838,268640,26.7522,20.0733,0.1341,insignificante
car-02,m71,m82,Z1,cuasi,60071,54518,0.385,0.3166,0.1733,insignificante
car-02,m71,m82,Z2,transicion,275907,299643,33.8492,31.0884,0.0998,insignificante
car-02,m71,m82,Z2,cuasi,262822,268754,6.5709,6.0284,0.1884,insignificante
car-02,m71,m82,Z3,transicion,363690,366264,57.4196,58.3105,0.0153,insignificante
car-02,m71,m82,Z3,cuasi,545375,547218,7.285,8.1808,0.1257,insignificante
car-02,m71,m82,Vf1c1,transicion,150951,109150,9.3729,12.5787,0.3352,débil
car-02,m71,m82,Vf1c1,cuasi,193596,205491,1.1608,3.2161,0.4836,débil
car-02,m71,m82,Vf1c2,transicion,24413,23126,0.5867,0.7845,0.214,débil
car-02,m71,m82,Vf1c2,cuasi,11249,5780,0.2132,0.3082,0.5507,medio
car-02,m71,m82,Vf2c1,transicion,416716,388193,16.3361,17.5538,0.0556,insignificante
car-02,m71,m82,Vf2c1,cuasi,636804,572598,1.1004,2.6399,0.1504,insignificante
car-02,m71,m82,Vf2c2,transicion,517675,677136,18.1156,11.96,0.3677,débil
car-02,m71,m82,Vf2c2,cuasi,2082020,1833885,0.7877,1.7497,0.0186,insignificante
car-02,m71,m82,Vf2c3,transicion,376461,274969,5.8645,5.9097,0.1052,insignificante
car-02,m71,m82,Vf2c3,cuasi,299220,344541,0.2458,0.6462,1.0342,fuerte
car-05,m92,m93,Z1,transicion,2774679,1316242,2.2032,1.8596,0.1923,insignificante
car-05,m92,m93,Z1,cuasi,1806551,782067,0.6017,0.5817,0.0775,insignificante
car-05,m92,m93,Z2,transicion,1678882,1122083,5.1628,4.5217,0.0741,insignificante
car-05,m92,m93,Z2,cuasi,2152027,827685,2.2368,1.2978,0.2066,débil
car-05,m92,m93,Z3,transicion,884832,443256,12.1712,12.0379,0.0465,insignificante
car-05,m92,m93,Z3,cuasi,768223,367856,6.0199,5.9987,0.0919,insignificante
car-05,m92,m93,Vf1c1,transicion,259394,168520,2.2724,2.1599,0.2052,débil
car-05,m92,m93,Vf1c1,cuasi,525589,236025,1.9791,1.8422,0.2023,débil
car-05,m92,m93,Vf2c1,transicion,3223501,1962007,2.6406,2.2432,0.2019,débil
car-05,m92,m93,Vf2c1,cuasi,1458108,412736,1.4597,0.7748,0.5105,medio
car-05,m92,m93,Vf2c2,transicion,32628,12476,2.9142,3.1681,0.6486,medio
car-05,m92,m93,Vf2c2,cuasi,706016,461131,1.5013,1.5759,0.0764,insignificante
