respuesta,predictor,etapa,rho,p_value,n_zonas,abs_rho
orden_S,V,cuasi,-0.44310099573257467,0.006022058014650461,37,0.44310099573257467
orden_S,V,transicion,0.3004048582995951,0.06314520215108722,39,0.3004048582995951
orden_S,gamma_dot,cuasi,-0.2968231389284021,0.07442625153189183,37,0.2968231389284021
orden_S,omega,cuasi,-0.268610715979137,0.10794120937493092,37,0.268610715979137
orden_S,omega,transicion,0.0728744939271255,0.6592990274272121,39,0.0728744939271255
orden_S,gamma_dot,transicion,0.004251012145748988,0.9795094590125429,39,0.004251012145748988
sigma_iso,V,transicion,0.7753036437246964,6.829509632519869e-09,39,0.7753036437246964
sigma_iso,omega,transicion,0.5746963562753037,0.00013008744750213285,39,0.5746963562753037
sigma_iso,gamma_dot,transicion,0.5455465587044535,0.0003283715189504883,39,0.5455465587044535
sigma_iso,V,cuasi,0.3364153627311522,0.041763582159509906,37,0.3364153627311522
sigma_iso,omega,cuasi,-0.21052631578947367,0.21104300930566408,37,0.21052631578947367
sigma_iso,gamma_dot,cuasi,-0.20341394025604548,0.22723012353699215,37,0.20341394025604548
